fact	theory	serial	serial_max	component_count	source_file	source_line	concealed	has_skip_proof	depends_on_article_sorry
pss_mechanized.adm_zero	pss_mechanized	481896	481896	1	isabelle/pss_mechanized.thy	1560	false	true	false
pss_mechanized.adm_below_set_finite	pss_mechanized	481920	481920	1	isabelle/pss_mechanized.thy	1569	false	false	false
pss_mechanized.adm_below_set_nonempty	pss_mechanized	481956	481956	1	isabelle/pss_mechanized.thy	1572	false	true	false
pss_mechanized.adm_Adm_adm	pss_mechanized	481974	481974	1	isabelle/pss_mechanized.thy	1587	false	true	false
pss_mechanized.adm_Adm_le	pss_mechanized	481992	481992	1	isabelle/pss_mechanized.thy	1601	false	true	false
pss_mechanized.adm_Adm_max	pss_mechanized	482052	482052	1	isabelle/pss_mechanized.thy	1615	false	false	false
pss_mechanized.m_6_3_admof_slice	pss_mechanized	482116	482116	1	isabelle/pss_mechanized.thy	1631	false	true	false
pss_mechanized.m_6_3_marked_slice	pss_mechanized	482200	482200	1	isabelle/pss_mechanized.thy	1691	false	true	false
pss_mechanized.poper_P_multi	pss_mechanized	482312	482312	1	isabelle/pss_mechanized.thy	1735	false	true	false
pss_mechanized.poper_P_nonmulti	pss_mechanized	482394	482394	1	isabelle/pss_mechanized.thy	1740	false	true	false
pss_mechanized.poper_concat_P	pss_mechanized	482450	482450	1	isabelle/pss_mechanized.thy	1745	false	true	false
pss_mechanized.poper_last_P_multi	pss_mechanized	482506	482506	1	isabelle/pss_mechanized.thy	1768	false	true	false
pss_mechanized.poper_entry_drop	pss_mechanized	482564	482564	1	isabelle/pss_mechanized.thy	1779	false	false	false
pss_mechanized.poper_nextrel0_drop	pss_mechanized	482700	482700	1	isabelle/pss_mechanized.thy	1786	false	false	false
pss_mechanized.poper_le0_drop_fwd	pss_mechanized	482740	482740	1	isabelle/pss_mechanized.thy	1841	false	false	false
pss_mechanized.poper_le0_drop_bwd	pss_mechanized	482802	482802	1	isabelle/pss_mechanized.thy	1856	false	false	false
pss_mechanized.poper_le0_drop	pss_mechanized	482904	482904	1	isabelle/pss_mechanized.thy	1878	false	true	false
pss_mechanized.poper_nextrel1_drop	pss_mechanized	482958	482958	1	isabelle/pss_mechanized.thy	1900	false	true	false
pss_mechanized.poper_le1_drop_fwd	pss_mechanized	483016	483016	1	isabelle/pss_mechanized.thy	1964	false	true	false
pss_mechanized.poper_le1_drop_bwd	pss_mechanized	483182	483182	1	isabelle/pss_mechanized.thy	1979	false	true	false
pss_mechanized.poper_le1_drop	pss_mechanized	483376	483376	1	isabelle/pss_mechanized.thy	2001	false	true	false
pss_mechanized.poper_nextR_drop	pss_mechanized	483542	483542	1	isabelle/pss_mechanized.thy	2023	false	true	false
pss_mechanized.poper_leR_drop	pss_mechanized	483700	483700	1	isabelle/pss_mechanized.thy	2029	false	true	false
pss_mechanized.poper_nextR_imp_le0	pss_mechanized	483834	483834	1	isabelle/pss_mechanized.thy	2037	false	false	false
pss_mechanized.poper_parent_ge_c	pss_mechanized	483978	483978	1	isabelle/pss_mechanized.thy	2058	false	false	false
